Titulo,Fecha del evento,Ubicación,Requisitos / Público de interés,Link original
"VISITING Ingeniería UC ""Plan de estudios: Major y Minor""",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/visiting-ingenieria-uc-plan-de-estudios-major-y-minor
[Coloquio en Educación UC] Inteligencia artificial en educación: propuesta de un plan de formación docente,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/coloquio-en-educacion-uc-inteligencia-artificial-en-educacion-propuesta-de-un-plan-de-formacion-docente
"Conversatorio: “Libertarios, distopías y capitalismo”",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/conversatorio-libertarios-distopias-y-capitalismo
Cine: Pesadilla antes de Navidad,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-pesadilla-antes-de-navidad
Rutas para publicar en acceso abierto: conoce los beneficios vigentes en la UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/rutas-para-publicar-en-acceso-abierto-001-25
Cine: Duro de matar,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-duro-de-matar
IX Annual Santiago Macro Workshop,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/ix-annual-santiago-macro-workshop
Territorios con Memoria,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/territorios-con-memoria
Dynamical Days 2025,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/dynamical-days-2025
Defensa de tesis pública: Fabian Riquelme Barraza,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/defensa-de-tesis-publica-fabian-riquelme-barraza
"Revistas  académicas  en acceso  abierto:  cómo identificarlas,  sus beneficios y buenas prácticas para  publicar.",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/taller-revistas-academicas-en-acceso-abierto-como-identificarlas-sus-beneficios-y-buenas-practicas-para-publicar-25-016
[Webinar] Magíster en Educación UC - Gen IA: Diversidad e Inclusión y consideraciones éticas en educación,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/webinar-magister-en-educacion-uc-gen-ia-diversidad-e-inclusion-y-consideraciones-eticas-en-educacion
Defensa de tesis pública: Héctor Orellana Cortés.,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/defensa-publica-de-tesis-doctoral-de-hector-orellana-cortes
Workshop “Organic & Perovskite Electronics: Material Synthesis and Device Fabrication” – WOPE 2025,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/workshop-organic-and-perovskite-electronics-material-synthesis-and-device-fabrication-wope-2025
Cine: Gremlins,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-gremlins
Cena de Navidad,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cena-de-navidad
Cine: Blanca Navidad,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-blanca-navidad
Defensa de tesis pública: César Benavidez Silva,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/defensa-de-tesis-publica-cesar-benavidez-silva
Creación de perfil  para investigador en ORCID,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/creacion-de-perfil-para-investigador-en-orcid-25-18
Cine: Qué bello es vivir,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-que-bello-es-vivir
Charla Informativa MBA UC ingreso 2026,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/charla-informativa-mba-uc
Seminario Diseñando un monitoreo de Salmonella en la industria avícola,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/seminario-disenando-un-monitoreo-de-salmonella-en-la-industria-avicola
Conferencia “Encuentros”: Enfoques colaborativos sobre el patrimonio en América Latina y el Caribe,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/conferencia-encuentros-enfoques-colaborativos-sobre-el-patrimonio-en-america-latina-y-el-caribe
Workshop LM2C2 | Class-based segregation in personal networks and political attitudes in Chile,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/workshop-class-based-segregation
"Revistas  académicas  en acceso  abierto:  cómo  identificarlas,  sus beneficios y buenas prácticas para  publicar.",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/taller-revistas-academicas-en-acceso-abierto-como-identificarlas-sus-beneficios-y-buenas-practicas-para-publicar-25-017
Cine: Mi pobre angelito,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-mi-pobre-angelito
Licencias  Creative  Commons  (CC) y  derecho de autor.  Para el Acceso abierto y Ciencia Abierta.,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/licencias-creative-commons-cc-y-derecho-de-autor-para-el-acceso-abierto-y-ciencia-abierta-25-07
"Ciclo de charlas: ""Brentano vs Kant. Sobre la relación tiempo-conocimiento""",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/ciclo-de-charlas-brentano-vs-kant-sobre-la-relacion-tiempo-conocimiento
Charla Informativa Magíster en Gestión de Personas UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/charla-informativa-mgp-uc
Coloquio ISUC | Transmisión religiosa intergeneracional en Chile: una aproximación comparada,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/coloquio-isuc-transmision-religiosa-intergeneracional-en-chile
Misa de Navidad en San Joaquín,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/misa-de-navidad-en-san-joaquin
Misa de Navidad en Casa Central,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/misa-de-navidad-en-casa-central
Misa de Navidad en Lo Contador,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/misa-de-navidad-en-lo-contador
Misa de Navidad en Campus Oriente,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/misa-de-navidad-en-campus-oriente
Cine: Cuento de Navidad,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-cuento-de-navidad
Descubre  revistas  académicas  de  tu interés y  aprende  buenas  prácticas para publicar.,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/descubre-revistas-academicas-de-tu-interes-y-aprende-buenas-practicas-para-publicar-25-013
